Book,Author(s),Original language,First published,Approximate sales in millions,Genre,,,,,
A Tale of Two Cities,Charles Dickens,English,1859,200,Historical fiction,Author(s),J. K. Rowling,,,
The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,French,1943,200,Novella,,,,,
Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120,Fantasy,Count of Book,Column Labels,,,
And Then There Were None,Agatha Christie,English,1939,100,Mystery,Row Labels,65,77,120,Grand Total
Dream of the Red Chamber (紅樓夢),Cao Xueqin,Chinese,1791,100,Family saga,Harry Potter and the Chamber of Secrets,,1,,1
The Hobbit,J. R. R. Tolkien,English,1937,100,Fantasy,Harry Potter and the Deathly Hallows,1,,,1
"The Lion, the Witch and the Wardrobe",C. S. Lewis,English,1950,85,"Fantasy, Children's fiction",Harry Potter and the Goblet of Fire,1,,,1
She: A History of Adventure,H. Rider Haggard,English,1887,83,Adventure,Harry Potter and the Half-Blood Prince,1,,,1
The Da Vinci Code,Dan Brown,English,2003,80,Mystery thriller,Harry Potter and the Order of the Phoenix,1,,,1
Vardi Wala Gunda (वर्दी वाला गुंडा),Ved Prakash Sharma,Hindi,1992,80,Detective,Harry Potter and the Philosopher's Stone,,,1,1
Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77,Fantasy,Harry Potter and the Prisoner of Azkaban,1,,,1
Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65,Fantasy,Grand Total,5,1,1,7
Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,65,Fantasy,,,,,
Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,65,Fantasy,,,,,
Harry Potter and the Order of the Phoenix,J. K. Rowling,English,2003,65,Fantasy,,,,,
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,65,Fantasy,,,,,
The Alchemist (O Alquimista),Paulo Coelho,Portuguese,1988,65,Fantasy,,,,,
The Catcher in the Rye,J. D. Salinger,English,1951,65,Coming-of-age,Row Labels,Sum of Approximate sales in millions,,,
The Bridges of Madison County,Robert James Waller,English,1992,60,Romance,Chinese,140,,,
Anne of Green Gables,Lucy Maud Montgomery,English,1908,50,Children's novel,Czech,20,,,
Ben-Hur: A Tale of the Christ,Lew Wallace,English,1880,50,Historical fiction,Dutch,35,,,
Black Beauty,Anna Sewell,English,1877,50,Children's literature,English,3966,,,
Charlotte's Web,E. B. White; illustrated by Garth Williams,English,1952,50,Children's fiction,French,257,,,
Heidi,Johanna Spyri,German,1880,50,Children's fiction,German,113,,,
Lolita,Vladimir Nabokov,English,1955,50,Novel,Gujarati,10,,,
One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,Spanish,1967,50,Magic realism,Hindi,100,,,
The Common Sense Book of Baby and Child Care,Benjamin Spock,English,1946,50,Manual,Italian,110.5,,,
The Eagle Has Landed,Jack Higgins,English,1975,50,"War, thriller",Japanese,72,,,
The Ginger Man,J. P. Donleavy,English,1955,50,Novel,Norwegian,60,,,
The Hite Report,Shere Hite,English,1976,50,Sexology,Portuguese,65,,,
The Name of the Rose (Il Nome della Rosa),Umberto Eco,Italian,1980,50,"Historical novel, mystery",Russian,163.4,,,
Watership Down,Richard Adams,English,1972,50,Fantasy,Spanish,75,,,
You Can Heal Your Life,Louise Hay,English,1984,50,Self-help,Swedish,40,,,
The Tale of Peter Rabbit,Beatrix Potter,English,1902,45,Children's Literature,Yiddish,10,,,
Jonathan Livingston Seagull,Richard Bach,English,1970,44,"Novella, Self-help",Grand Total,5236.9,,,
The Very Hungry Caterpillar,Eric Carle,English,1969,43,"Children's Literature, picture book",,,,,
A Message to Garcia,Elbert Hubbard,English,1899,40,Essay/Literature,,,,,
Cosmos,Carl Sagan,English,1980,40,"Popular science, Anthropology, Astrophysics, Cosmology, Philosophy, History",,,,,
Flowers in the Attic,V. C. Andrews,English,1979,40,"Gothic horror, Family saga",Row Labels,Sum of Approximate sales in millions,,,
Sophie's World (Sofies verden),Jostein Gaarder,Norwegian,1991,40,"Philosophical novel, Young adult",J. K. Rowling,522,,,
To Kill a Mockingbird,Harper Lee,English,1960,40,"Southern Gothic, Bildungsroman",Charles Dickens,200,,,
Angels & Demons,Dan Brown,English,2000,39,Mystery-thriller,Antoine de Saint-Exupéry,200,,,
Kane and Abel,Jeffrey Archer,English,1979,37,Novel,Dan Brown,149,,,
How the Steel Was Tempered (Как закалялась сталь),Nikolai Ostrovsky,Russian,1932,36.4,Socialist realist novel,J. R. R. Tolkien,100,,,
War and Peace (Война и мир),Leo Tolstoy,Russian,1869,36,Historical novel,Agatha Christie,100,,,
The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Italian,1881,35,"Fantasy, Children's fiction",Cao Xueqin,100,,,
The Diary of Anne Frank (Het Achterhuis),Anne Frank,Dutch,1947,35,"Historical non-fiction, Autobiography, Memoir, Bildungsroman / Coming of Age, Jewish literature",C. S. Lewis,85,,,
Your Erroneous Zones,Wayne Dyer,English,1976,35,Self-help,H. Rider Haggard,83,,,
The Purpose Driven Life,Rick Warren,English,2002,33,Christian literature,Ved Prakash Sharma,80,,,
The Thorn Birds,Colleen McCullough,English,1977,33,Romantic family saga,Suzanne Collins,70,,,
The Kite Runner,Khaled Hosseini,English,2003,31.5,"Bildungsroman, Historical fiction",Paulo Coelho,65,,,
Valley of the Dolls,Jacqueline Susann,English,1966,31,Novel,J. D. Salinger,65,,,
Alcoholics Anonymous Big Book,Bill Wilson,English,1939,30,Self-help,Roald Dahl,65,,,
Gone with the Wind,Margaret Mitchell,English,1936,30,Historical fiction,Robert James Waller,60,,,
How to Win Friends and Influence People,Dale Carnegie,English,1936,30,Self-help,E. B. White; illustrated by Garth Williams,50,,,
Nineteen Eighty-Four,George Orwell,English,1949,30,"Dystopian, political fiction, social science fiction",Louise Hay,50,,,
Rebecca,Daphne du Maurier,English,1938,30,Gothic novel,Lew Wallace,50,,,
The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,Swedish,2005,30,Fiction,Richard Adams,50,,,
The Great Gatsby,F. Scott Fitzgerald,English,1925,30,"Novel, tragedy",Lucy Maud Montgomery,50,,,
The Lost Symbol,Dan Brown,English,2009,30,Fiction,Anna Sewell,50,,,
The Revolt of Mamie Stover,William Bradford Huie,English,1951,30,Fiction,Umberto Eco,50,,,
The Hunger Games,Suzanne Collins,English,2008,29,Young adult fiction,Benjamin Spock,50,,,
Who Moved My Cheese?,Spencer Johnson,English,1998,29,"Self-help, motivational, business fable, psychology, leadership, parable",Jack Higgins,50,,,
James and the Giant Peach,Roald Dahl,English,1961,28,Children's novel,Shere Hite,50,,,
The Young Guard (Молодая гвардия),Alexander Alexandrovich Fadeyev,Russian,1945,26,Young adult historical novel,Johanna Spyri,50,,,
A Brief History of Time,Stephen Hawking,English,1988,25,Popular science,George Orwell,50,,,
Lust for Life,Irving Stone,English,1934,25,Biographical novel,Gabriel García Márquez,50,,,
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25,Novel,J. P. Donleavy,50,,,
The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,25,Self-help,Vladimir Nabokov,50,,,
The Wind in the Willows,Kenneth Grahame,English,1908,25,Children's literature,Beatrix Potter,45,,,
Virgin Soil Upturned (Поднятая целина),Mikhail Sholokhov,Russian,1935,24,Novel,Richard Bach,44,,,
The Celestine Prophecy,James Redfield,English,1993,23,New-age spiritual novel,Eric Carle,43,,,
The Fault in Our Stars,John Green,English,2012,23,Young adult romantic novel,Harper Lee,40,,,
The Girl on the Train,Paula Hawkins,English,2015,23,Thriller,V. C. Andrews,40,,,
The Shack,William P. Young,English,2007,22.5,Novel,Elbert Hubbard,40,,,
Catching Fire,Suzanne Collins,English,2009,21,"Young Adult novel, adventure, dystopian, science fiction",Carl Sagan,40,,,
Love Story,Erich Segal,English,1970,21,Romance novel,Jostein Gaarder,40,,,
The Godfather,Mario Puzo,English,1969,21,Crime novel,Jeffrey Archer,37,,,
Uncle Styopa (Дядя Стёпа),Sergey Mikhalkov,Russian,1936,21,"Children's Literature, picture book",Nikolai Ostrovsky,36.4,,,
Adventures of Huckleberry Finn,Mark Twain,English,1885,20,"Picaresque novel, Bildungsroman, satire, Robinsonade",Leo Tolstoy,36,,,
All Quiet on the Western Front (Im Westen nichts Neues),Erich Maria Remarque,German,1929,20,War novel,Wayne Dyer,35,,,
Andromeda Nebula (Туманность Андромеды),Ivan Yefremov,Russian,1957,20,Science fiction novel,Carlo Collodi,35,,,
Animal Farm ,George Orwell,English,1945,20,"Satirical allegorical novella, Political satire, Dystopian Fiction, Roman à clef",Anne Frank,35,,,
Autobiography of a Yogi (योगी कथामृत),Paramahansa Yogananda,Hindi,1946,20,Autobiography,Rick Warren,33,,,
Charlie and the Chocolate Factory,Roald Dahl,English,1964,20,Children's fantasy novel,Colleen McCullough,33,,,
Dune,Frank Herbert,English,1965,20,Science fiction novel,Khaled Hosseini,31.5,,,
Fear of Flying,Erica Jong,English,1973,20,Romantic novel,Jacqueline Susann,31,,,
Gone Girl,Gillian Flynn,English,2012,20,Crime thriller novel,Dale Carnegie,30,,,
Jaws,Peter Benchley,English,1974,20,Thriller,William Bradford Huie,30,,,
Kitchen (キッチン),Banana Yoshimoto,Japanese,1988,20,Japanese novel,Daphne du Maurier,30,,,
Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,Norwegian,1950,20,Travel literature,Stieg Larsson,30,,,
Love You Forever,Robert Munsch,English,1986,20,"Children's literature, picture book, fiction",F. Scott Fitzgerald,30,,,
Mockingjay,Suzanne Collins,English,2010,20,"Young Adult novel, adventure, war, science fiction, action thriller",Bill Wilson,30,,,
Pride and Prejudice,Jane Austen,English,1813,20,"Classic regency novel, romance",Margaret Mitchell,30,,,
The Bermuda Triangle,Charles Berlitz,English,1974,20,,Spencer Johnson,29,,,
The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,Czech,1923,20,Unfinished satirical dark comedy novel,Alexander Alexandrovich Fadeyev,26,,,
The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,20,Memoir,E. L. James,25.6,,,
The Naked Ape,Desmond Morris,English,1968,20,"Social Science, Anthropology, Psychology",Stephen R. Covey,25,,,
The Power of Positive Thinking,Norman Vincent Peale,English,1952,20,Self-help,Stephen Hawking,25,,,
The Secret,Rhonda Byrne,English,2006,20,Self-help,Ken Follett,25,,,
"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,English,1982,20,Young adult novel,Jacques-Henri Bernardin de Saint-Pierre,25,,,
The Women's Room,Marilyn French,English,1977,20,Feminist novel,Kenneth Grahame,25,,,
Things Fall Apart ,Chinua Achebe,English,1958,20,Novel,Irving Stone,25,,,
What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,20,Pregnancy guide,Erskine Caldwell,24,,,
Where the Wild Things Are,Maurice Sendak,English,1963,20,Children's picture book,Mikhail Sholokhov,24,,,
Wolf Totem (狼图腾),Jiang Rong,Chinese,2004,20,Semi-autobiographical novel,Paula Hawkins,23,,,
"Totto-chan, the Little Girl at the Window (窓ぎわのトットちゃん)",Tetsuko Kuroyanagi,Japanese,1981,18,Autobiographical novel,James Redfield,23,,,
Where the Crawdads Sing,Delia Owens,English,2018,18,Coming-of-age Murder mystery,John Green,23,,,
Matilda,Roald Dahl,English,1988,17,Children's Literature,William P. Young,22.5,,,
Goodnight Moon,Margaret Wise Brown,English,1947,16,Children's Literature,Albert Camus,22,,,
The Book Thief,Markus Zusak,English,2005,16,Young Adult Fiction,Sergey Mikhalkov,21,,,
The Horse Whisperer,Nicholas Evans,English,1995,16,,Erich Segal,21,,,
The Neverending Story (Die unendliche Geschichte),Michael Ende,German,1979,16,Children's Literature,Mario Puzo,21,,,
All the Light We Cannot See,Anthony Doerr,English,2014,15.3,"Historical fiction, war novel",Desmond Morris,20,,,
Fifty Shades of Grey,E. L. James,English,2011,15.2,Erotica,Jiang Rong,20,,,
Guess How Much I Love You,Sam McBratney,English,1994,15,,Erich Maria Remarque,20,,,
Interpreter of Maladies,Jhumpa Lahiri,English,2000,15,,Chinua Achebe,20,,,
Perfume (Das Parfum),Patrick Süskind,German,1985,15,,Rhonda Byrne,20,,,
Shōgun,James Clavell,English,1975,15,,Erica Jong,20,,,
The Grapes of Wrath,John Steinbeck,English,1939,15,,Jane Austen,20,,,
The Outsiders,S. E. Hinton,English,1967,15,,Ivan Yefremov,20,,,
The Pillars of the Earth,Ken Follett,English,1989,15,Historical fiction,Arlene Eisenberg and Heidi Murkoff,20,,,
The Poky Little Puppy,Janette Sebring Lowrey,English,1942,15,,Frank Herbert,20,,,
The Shadow of the Wind (La sombra del viento),Carlos Ruiz Zafón,Spanish,2001,15,,Xaviera Hollander,20,,,
A Wrinkle in Time,Madeleine L'Engle,English,1962,14,,Marilyn French,20,,,
Becoming,Michelle Obama,English,2018,14,,Gillian Flynn,20,,,
Follow Your Heart (Va' dove ti porta il cuore),Susanna Tamaro,Italian,1994,14,,Banana Yoshimoto,20,,,
God's Little Acre,Erskine Caldwell,English,1933,14,,Robert Munsch,20,,,
Long Walk to Freedom,Nelson Mandela,English,1994,14,,Mark Twain,20,,,
The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,14,Science fiction,Jaroslav Hašek,20,,,
Tuesdays with Morrie,Mitch Albom,English,1997,14,,Maurice Sendak,20,,,
Life After Life,Raymond Moody,English,1975,13,,Sue Townsend,20,,,
The Old Man and the Sea,Ernest Hemingway,English,1952,13,,Charles Berlitz,20,,,
Peyton Place ,Grace Metalious,English,1956,12.1,,Thor Heyerdahl,20,,,
Man's Search for Meaning (Ein Psychologe erlebt das Konzentrationslager),Viktor Frankl,German,1946,12,,Norman Vincent Peale,20,,,
Me Before You,Jojo Moyes,English,2012,12,,Paramahansa Yogananda,20,,,
No Longer Human (人間失格),Osamu Dazai,Japanese,1948,12,,Peter Benchley,20,,,
Norwegian Wood (ノルウェイの森),Haruki Murakami,Japanese,1987,12,,Tetsuko Kuroyanagi,18,,,
The Giver,Lois Lowry,English,1993,12,Dystopian fiction,Delia Owens,18,,,
The Plague (La Peste),Albert Camus,French,1947,12,,Nicholas Evans,16,,,
The Divine Comedy (La Divina Commedia),Dante Alighieri,Italian,1304,11.5,,Margaret Wise Brown,16,,,
The Boy in the Striped Pyjamas,John Boyne,English,2006,11,,Michael Ende,16,,,
The Exorcist,William Peter Blatty,English,1971,11,Horror,Markus Zusak,16,,,
The Prophet,Kahlil Gibran,English,1923,11,,Anthony Doerr,15.3,,,
The Cat in the Hat,Dr. Seuss,English,1957,10.5,,Jhumpa Lahiri,15,,,
The Gruffalo,Julia Donaldson,English,1999,10.5,,James Clavell,15,,,
Fifty Shades Darker,E. L. James,English,2012,10.4,Erotica,S. E. Hinton,15,,,
Angela's Ashes,Frank McCourt,English,1996,10,,John Steinbeck,15,,,
Bridget Jones's Diary,Helen Fielding,English,1996,10,,Janette Sebring Lowrey,15,,,
Catch-22,Joseph Heller,English,1961,10,,Sam McBratney,15,,,
Confucius from the Heart (于丹《论语》心得),Yu Dan,Chinese,2006,10,,Carlos Ruiz Zafón,15,,,
Diana: Her True Story,Andrew Morton,English,1992,10,,Patrick Süskind,15,,,
Eye of the Needle,Ken Follett,English,1978,10,,Mitch Albom,14,,,
Fahrenheit 451,Ray Bradbury,English,1953,10,,Nelson Mandela,14,,,
Knowledge-value Revolution (知価革命),Taichi Sakaiya,Japanese,1985,10,,Susanna Tamaro,14,,,
Life of Pi,Yann Martel,English,2001,10,,Douglas Adams,14,,,
Night (Un di Velt Hot Geshvign),Elie Wiesel,Yiddish,1958,10,,Madeleine L'Engle,14,,,
Problems in China's Socialist Economy (中国社会主义经济问题研究),Xue Muqiao,Chinese,1979,10,,Michelle Obama,14,,,
"Ronia, the Robber's Daughter",Astrid Lindgren,Swedish,1981,10,,Raymond Moody,13,,,
Santa Evita,Tomás Eloy Martínez,Spanish,1995,10,,Ernest Hemingway,13,,,
The Dukan Diet,Pierre Dukan,French,2000,10,,Grace Metalious,12.1,,,
The Front Runner,Patricia Nell Warren,English,1974,10,,Osamu Dazai,12,,,
The Goal,Eliyahu M. Goldratt,English,1984,10,,Viktor Frankl,12,,,
The Gospel According to Peanuts,Robert L. Short,English,1965,10,,Haruki Murakami,12,,,
The Help,Kathryn Stockett,English,2009,10,,Lois Lowry,12,,,
The Joy of Sex,Alex Comfort,English,1972,10,,Jojo Moyes,12,,,
The Lovely Bones,Alice Sebold,English,2002,10,,Dante Alighieri,11.5,,,
The Story of My Experiments with Truth (સત્યના પ્રયોગો અથવા આત્મકથા),Mohandas Karamchand Gandhi,Gujarati,1929,10,,John Boyne,11,,,
The Stranger (L'Étranger),Albert Camus,French,1942,10,,William Peter Blatty,11,,,
The Subtle Art of Not Giving a Fuck,Mark Manson,English,2016,10,,Kahlil Gibran,11,,,
The Total Woman,Marabel Morgan,English,1974,10,,Dr. Seuss,10.5,,,
Tobacco Road,Erskine Caldwell,English,1932,10,,Julia Donaldson,10.5,,,
What Color Is Your Parachute?,Richard Nelson Bolles,English,1970,10,,Marabel Morgan,10,,,
Wild Swans,Jung Chang,English,1992,10,,Elie Wiesel,10,,,
,,,,,,Alex Comfort,10,,,
,,,,,,Yann Martel,10,,,
,,,,,,Eliyahu M. Goldratt,10,,,
,,,,,,Joseph Heller,10,,,
,,,,,,Xue Muqiao,10,,,
,,,,,,Frank McCourt,10,,,
,,,,,,Tomás Eloy Martínez,10,,,
,,,,,,Pierre Dukan,10,,,
,,,,,,Astrid Lindgren,10,,,
,,,,,,Mohandas Karamchand Gandhi,10,,,
,,,,,,Yu Dan,10,,,
,,,,,,Jung Chang,10,,,
,,,,,,Kathryn Stockett,10,,,
,,,,,,Patricia Nell Warren,10,,,
,,,,,,Helen Fielding,10,,,
,,,,,,Robert L. Short,10,,,
,,,,,,Ray Bradbury,10,,,
,,,,,,Richard Nelson Bolles,10,,,
,,,,,,Taichi Sakaiya,10,,,
,,,,,,Andrew Morton,10,,,
,,,,,,Alice Sebold,10,,,
,,,,,,Mark Manson,10,,,
,,,,,,Grand Total,5236.9,,,
